rank,company_name,previous_rank,ceo,address,website,ticker,stock_price,stock_net_change,stock_percent_yield,stock_date,description,revenue_millions,revenue_percentchange_previous_year,profit_millions,profit_percentchange_previous_year,total_assets_millions,total_shareholder_equity_millions,market_value_03312014_millions,profit_percentsales,profit_percentassets,profit_percentstockholder_equity,earnings_per_share,eps_percentchange_from_2012,eps_percentchange_5_year,eps_percentchange_10_year,total_return_investors,total_annualized_return_investors_5_year,total_annualized_return_investors_10_year
1,Wal-Mart Stores,1,C. Douglas McMillon,"702 S.W. Eighth St., Bentonville, AR 72716",www.corporate.walmart.com,WMT,78.73,0.57,0.0073,5/14/2015 15:26,"The retail giant held on to the top spot on the Fortune 500, edging out Exxon Mobil for the second year in a row. For fiscal year 2014, Wal-Mart’s net sales totaled $473.1 billion, up 1.6% from the year-earlier period. While its sales grew domestically, Wal-Mart said the expiration of a payroll tax cut, reductions in the U.S. food stamp program, and poor winter weather hurt its results. But in the U.S., Wal-Mart is bullish about its plans to open even more small stores, which compete with drugstores and small grocery stores.",476294,0.015,16022,-0.057,204751,76255,246805,3.4,7.8,21,4.88,-2.8,7.6,9,17.5,9.6,6
2,Exxon Mobil,2,Rex W. Tillerson,"5959 Las Colinas Blvd., Irving, TX 75039",www.exxonmobil.com,XOM,86.87,0.3,0.0035,5/14/2015 15:51,"In 2013, Exxon Mobil’s total revenue dropped 8.8% to $438.26 billion, and net income fell an even steeper 27%. Oil production took a tumble in 2013, all while capital and exploration expenditures increased. While Exxon has said it plans to start production at a record 10 major projects this year, capital spending is expected to decline 6.4% from 2012. Deepwater projects in the Gulf of Mexico and a liquefied natural gas project in Papua New Guinea are among the ventures scheduled for this year.",407666,-0.094,32580,-0.274,346808,174003,422098,8,9.4,18.7,7.37,-24,-3.2,8.6,20.1,7.5,11.9
3,Chevron,3,John S. Watson,"6001 Bollinger Canyon Rd., San Ramon, CA 94583",www.chevron.com,CVX,108.34,0.64,0.0059,5/14/2015 15:52,"Chevron, the U.S.’s second-largest oil company after Exxon Mobil, posted a 5.4% decrease in total revenue in 2013, to $228.9 billion. Chevron Chief Executive John Watson said results were hurt by lower global crude oil prices and refining margins, as well as fewer asset sale gains and higher expenses. The company expects production will increase in 2015 and beyond. Chevron says it has also made progress with its projects in Australia and the Gulf of Mexico.",220356,-0.058,21423,-0.182,253753,149113,227014,9.7,8.4,14.4,11.09,-16.7,-1,12.3,19.2,14.9,14.8
4,Berkshire Hathaway,5,Warren E. Buffett,"3555 Farnam St., Omaha, NE 68131",www.berkshirehathaway.com,BRK.A,218900,1700,0.0078,5/14/2015 15:42,"Berkshire Hathaway’s per-share book value climbed 18.2% in 2013, but it underperformed the Standard & Poor’s 500 index, which grew by more than 32% with dividends. The company traditionally outperforms the S&P when the index falls or moderately rises, but falls short in years when the market is strong. Berkshire kicked off 2013 with a big-name acquisition, joining 3G Capital to pay $23 billion to acquire H.J. Heinz. The earnings boost from that deal, which closed in June, is expected to be substantial in 2014, according to Chief Executive Warren Buffett.",182150,0.121,19476,0.314,484931,221890,308003,10.7,4,8.8,11850,32,29.7,8.4,32.7,13,7.8
5,Apple,6,Timothy D. Cook,"1 Infinite Loop, Cupertino, CA 95014",www.apple.com,AAPL,128.8,2.79,0.0221,5/14/2015 15:51,"Apple’s net sales keep climbing, as the tech giant continues to sell more iPhones and digital content. But the company faces pressure in the smartphone business, as Android phones grow increasingly dominant. Meanwhile, Apple reported an annual drop in net income in fiscal year 2013, a first in more than a decade. Activist investor Carl Icahn last year disclosed a stake in Apple and subsequently pushed for the company to spend billions on share buybacks. In April, the company increased the amount of shares it is authorized to repurchase and raised its quarterly dividend by 8%, and in late May it announced it was acquiring Beats Music and Beats Electronics for $3 billion.",170910,0.092,37037,-0.113,207000,123549,479069,21.7,17.9,30,39.75,-10,49.3,82.9,8,46.7,49.1
6,Phillips 66,4,Greg C. Garland,"3010 Briarpark Dr., Houston, TX 77042",www.phillips66.com,PSX,81.62,1.41,0.0176,5/14/2015 15:56,"The refining company reported a 4% dip in revenue in 2013 — the first full-year results since it separated from the exploration division of ConocoPhillips in 2012. Results were hurt by lower average prices for crude oil and petroleum products. Phillips 66 is planning to spend about 40% more on capital expenditures in 2014 compared to the prior year, as the company invests in its midstream and chemicals segments to capitalize on North America’s energy renaissance.",161175,-0.049,3726,-0.097,49798,21950,45282,2.3,7.5,17,6.02,-7.1,,,48.2,,
7,General Motors,7,Mary T. Barra,"300 Renaissance Center, Detroit, MI 48265",www.gm.com,GM,34.61,-0.19,-0.0055,5/14/2015 15:57,"GM’s troubles with its dangerously defective vehicles don’t appear to have hurt sales — at least not yet. In April, the automaker’s U.S. sales rose 7% from a year ago as CEO Mary Barra explained to Congress how GM would handle recalls of millions of its vehicles. This follows higher vehicle sales in 2013 across many key markets, including the U.S., South America and the Asia/Pacific. The company expects to spend $1.7 billion to cover the cost of its record-setting number of recalls so far in 2014.",155427,0.021,5346,-0.136,166344,42607,54720,3.4,3.2,12.5,2.38,-18.5,,,41.8,,
8,Ford Motor,10,Alan R. Mulally,"1 American Rd., Dearborn, MI 48126",www.ford.com,F,15.26,-0.15,-0.0097,5/14/2015 15:56,"Ford has benefitted from a stronger economic recovery in the U.S., as many drivers look to replace their aging vehicles. Executives also expect it to be profitable in North America this year, albeit at a lower level than in 2013. In Europe, where Ford has closed factories and cut thousands of jobs, the company expects to report a narrower loss in 2014 and achieve profitability the following year. Worldwide, Ford’s 2013 revenue increased 10% from the previous year to $146.9 billion, while profits climbed 26%.",146917,0.094,7155,0.263,202026,26383,61523,4.9,3.5,27.1,1.76,23.9,,20.6,22.3,47.8,1.1
9,General Electric,8,Jeffrey R. Immelt,"3135 Easton Turnpike, Fairfield, CT 06828",www.ge.com,GE,27.41,0.2,0.0074,5/14/2015 15:57,"GE kicked off 2013 with a large asset sale announcement, agreeing in February to sell its remaining stake in NBCUniversal’s joint venture with Comcast for $18.1 billion. Proceeds from that sale were used to accelerate both share buybacks and the conglomerate’s restructuring plans. In the year ahead, GE is looking to invest. In April, the company made an offer to to buy French firm Alstom’s power and grid businesses for nearly $17 billion — a deal that would, if approved, immediately boost GE’s earnings.",146231,-0.004,13057,-0.043,656560,130566,259547,8.9,2,10,1.27,-1.6,-5.9,-1.7,37.9,15.8,2.4
10,Valero Energy,9,Joseph Gorder,"1 Valero Way, San Antonio, TX 78249",www.valero.com,VLO,59.76,1.48,0.0253,5/14/2015 15:57,"Valero has benefited from increased oil and gas production in North America, and the company has said domestic gasoline demand and margins look positive heading into the summer driving season. This comes after some big changes for the refining giant: Valero completed the spin off of its retail business, CST Brands, last year. And earlier this year, the company named its new CEO, Joe Gorder, who was previously the company’s chief operating officer.",137758,-0.004,2720,0.306,47260,19460,28276,2,5.8,14,4.97,32.5,,14.6,64.5,23,18.6
11,AT&T,11,Randall L. Stephenson,"208 S. Akard St., Dallas, TX 75202",www.att.com,T,34.13,0.23,0.0066,5/14/2015 15:57,"AT&T’s earnings more than doubled last year with the help of an 18.7% increase in data revenue, but the company continues to struggle finding new customers in a heavily saturated mobile market. Both Verizon and T-Mobile added more contract subscribers in the fourth quarter, leaving AT&T to hope it can attract people with a new pricing plan called NEXT that allows customers to pay for mobile devices on installment plans. If that fails, the company is also borrowing a tactic from T-Mobile, offering up to $450 to that company’s customers if they jump ship to AT&T.",128752,0.01,18249,1.512,277787,90988,182604,14.2,6.6,20.1,3.39,171.2,9.4,2.8,9.6,10.4,8.5
12,CVS Caremark,13,Larry J. Merlo,"1 CVS Dr., Woonsocket, RI 02895",info.cvscaremark.com,CVS,101.85,2.04,0.0204,5/14/2015 15:48,"CVS got a 3% bump in sales last year, driven mostly by increased pharmacy services and retail pharmacy sales. The company is transforming itself into more of a health services provider in order to take advantage of the spike in the number of insured patients created by healthcare reform. Pharmacy services sales have already jumped more than 10% during the first three months this year. That could help offset what CVS expects to lose in cigarette sales when it stops selling all tobacco products in its stores this October, which the company expects will trim roughly $2 billion from its annual sales.",126761,0.029,4592,0.184,71526,37938,88516,3.6,6.4,12.1,3.74,23.4,11.4,13.8,50.3,21.6,15.9
13,Fannie Mae,12,Timothy J. Mayopoulos,"3900 Wisconsin Ave. N.W., Washington, DC 20016",www.fanniemae.com,FNMA,2.66,0.03,0.0095,5/14/2015 15:36,"Fannie Mae rode a much-improved housing market in 2013 to its second straight year of record profits while passing an important milestone by paying back the U.S. government more than the company has received in government bailout funds. The mortgage giant posted $83.9 billion in profits last year, up from $17.2 billion in 2012, thanks to a housing market that saw its largest price-jump — 11.3% — since 2005. CEO Tim Mayopoulos said again this year that he expects Fannie Mae to be “profitable for the foreseeable future,” though two years of record-setting gains have done little to stop plans for a potential government overhaul of the agency.",125696,-0.012,83963,3.876,3270108,9541,4516,66.8,2.6,880,-0.25,-204.2,,,1080,31.7,-26.5
14,UnitedHealth Group,17,Stephen J. Hemsley,"9900 Bren Rd. E., Minnetonka, MN 55343",www.unitedhealthgroup.com,UNH,118.42,2.56,0.0221,5/14/2015 15:52,"UnitedHealth may have been among the medical insurers who feared the rising medical care costs and increased liability expected from implementation of the Affordable Care Act, but the nation’s largest insurer cited “sales to individuals and smaller employer groups” as a contributor to its enrollment growth at the end of 2013. The company added 4.5 million customers in total last year and its revenues increased 10.7% with help from a 26% revenue bump for Optum — UnitedHealth’s technology services arm. In what might be an unintentional boost from the ACA, Optum runs the unit that was brought in to help repair HealthCare.gov in the wake of the government insurance site’s disastrous rollout.",122489,0.107,5625,0.018,81882,32149,81103,4.6,6.9,17.5,5.5,4.2,18,14,41.1,24.5,10.6
15,McKesson,14,John H. Hammergren,"1 Post St., San Francisco, CA 94104",www.mckesson.com,MCK,239.19,6.81,0.0293,5/14/2015 15:55,"The nation’s largest drug distributor dropped one spot on this year’s list after a decline in warehouse sales resulted in a slight revenue dip. McKesson’s profits also slipped last year — down 4.6% to $1.3 billion — but the company hopes to improve its earnings and reach through its purchase of Germany’s Celesio, one of Europe’s top drug wholesalers. The company also recently drew the ire of activist investors upset over CEO John Hammergren’s record-setting $159 million pension benefit. The company leader responded to the complaints by agreeing to cut $45 million from the lump-sum compensation.",122455,-0.002,1338,-0.046,34786,7070,40633,1.1,3.8,18.9,5.59,,11,11.5,67.7,34.3,18.4
16,Verizon Communications,16,Lowell C. McAdam,"140 West St., New York, NY 10007",www.verizon.com,VZ,49.97,0.24,0.0047,5/14/2015 15:55,"The nation’s top carrier got a 4.1% increase in sales last year as it added more wireless customers while expanding a 4G LTE mobile broadband network that is now available to 305 million people, nearly the entire U.S. population. Facing increased competition from its mobile competitors, Verizon engineered a massive $130 billion buyback of Vodafone’s 45% in Verizon Wireless, a deal that closed in February and earned Verizon nearly $2 billion after taxes in this year’s first quarter. The company also bought digital TV technology assets from Intel — something Verizon hopes will help improve aspects of its FiOS video service and allow it to create a platform for broadcasting TV channels on mobile devices.",120550,0.041,11497,12.13,274098,38836,196994,9.5,4.2,29.6,4,1190,12.1,13.7,18.4,15.1,9.8
17,Hewlett-Packard,15,Margaret C. Whitman,"3000 Hanover St., Palo Alto, CA 94304",www.hp.com,HPQ,33.71,0.41,0.0123,5/14/2015 15:57,"The world’s largest computer manufacturer’s sales dropped for the third year in a row in 2013 — down 6.7% to $112.2 billion. CEO Meg Whitman has made it clear that turnaround tactics such as cutting costs and expanding into cloud computing are not likely to yield profits until 2014. Two years into her five-year plan, Whitman says the company still has “much more work to do” in order to revive growth. But, HP closed its 2013 fiscal year (ending October 31) on a relatively high note _outpacing projections for Q4 revenue and earnings — and the company’s share prices were climbing steadily in early 2014.",112298,-0.067,5113,,105676,27269,61326,4.6,4.8,18.8,2.62,,-4.2,12.2,101.8,-3.5,3.3
18,J.P. Morgan Chase & Co.,18,James Dimon,"270 Park Ave., New York, NY 10017",www.jpmorganchase.com,JPM,66.07,0.55,0.0084,5/14/2015 15:57,"Legal costs continued to cut into J.P. Morgan Chase’s profits as the company posted its first quarterly loss on CEO Jamie Dimon’s watch in last year’s third quarter. The banking giant was forced to dole out more than $20 billion in 2013 to resolve legal issues, including penalties related to its sale of dubious mortgage securities in the lead-up to the financial crisis as well as the bank’s failure to act on suspicions concerning Bernie Madoff’s epic Ponzi scheme. The company braced for impact by squirreling away billions in anticipation of the payouts, but yearly profits still dipped almost 16% to $17.9 billion.",106283,-0.018,17923,-0.158,2415689,211178,229792,16.9,0.7,8.5,4.35,-16.3,26,3,36.6,15.4,7.6
19,Costco Wholesale,22,W. Craig Jelinek,"999 Lake Dr., Issaquah, WA 98027",www.costco.com,COST,142.44,-0.8,-0.0056,5/14/2015 15:57,"Costco surpassed the $100-billion mark in sales for the first time ever in 2013 as the bulk retailer benefitted from a bump in membership fees. In addition to 6% sales growth, the company — which sells everything from food to clothing, gas and even home and auto insurance — also saw a 19.3% bump in profits last year. That growth came amid continued expansion as the retailer opened a dozen warehouses across the U.S. and several more overseas. The company is also moving ahead with a push into continental Europe in 2014, when it plans to launch its first stores in Spain.",105156,0.061,2039,0.193,30283,10833,49125,1.9,6.7,18.8,4.63,19,9.9,11.7,21.9,20.9,14.3
20,Express Scripts Holding,24,George Paz,"1 Express Way, St. Louis, MO 63121",www.express-scripts.com,ESRX,87.41,1.63,0.019,5/14/2015 15:57,"Express Scripts shot up this list after a 2012 merger with rival Medco Health Solutions more than doubled the company’s sales. Last year, the prescription drug plan manager’s revenues continued to increase on the whole — up 10.8% — while profits jumped 40.8% to $1.9 billion. Still, sales fell in both the third and fourth quarters as the company contended with losing the business of insurer — and former Medco customer — UnitedHealth Group, which started handling its medical and pharmacy benefit plans in-house in early 2013. Looking ahead, Express Scripts expects its earnings per share to increase between 10% and 20% annually for the next several years thanks to expected growth from its mail order and specialty drug businesses.",104620,0.108,1845,0.405,53548,21837,58272,1.8,3.4,8.4,2.25,27.8,7.9,19,30.1,20.6,23.8
21,Bank of America,21,Brian T. Moynihan,"100 N. Tryon St., Charlotte, NC 28255",www.bankofamerica.com,BAC,16.52,0.05,0.0027,5/14/2015 15:57,"Bank of America investors were likely pleased at the improvement in the bank’s fortunes in 2013: Profit totaled $11.4 billion, up from $4.1 billion in 2012. Earnings per share more than tripled, from $0.25 to $0.90. But the company continues to struggle in the public eye as news surfaced that Bank of America overstated some capital figures for 2013, necessitating a swift halt to its planned dividend payments and a $4 billion share buyback program.",101697,0.016,11431,1.729,2102273,232685,181086,11.2,0.5,4.9,0.9,260,10.4,-12.9,34.5,2.4,-6.5
22,Cardinal Health,19,George S. Barrett,"7000 Cardinal Place, Dublin, OH 43017",www.cardinal.com,CAH,87.93,1.45,0.0168,5/14/2015 15:57,"With two major clients up for renewal in 2013, Cardinal Health managed to keep CVS locked in, but it lost Walgreens. The company’s biggest news of the year came in December when it announced that it would partner with CVS to create a generic drug company. On the financial front, earnings were down 9% in the company’s most recent quarter, to $315 million from $346 million for the same quarter a year ago. Though the company is still reeling from the loss of Walgreens, the new venture with CVS, which will launch later this year, could help reverse its fortunes.",101093,-0.06,334,-0.688,25819,5975,23995,0.3,1.3,5.6,0.97,-68.3,-22.9,-10.8,66.2,24.5,5.7
23,International Business Machines,20,Virginia M. Rometty,"1 New Orchard Rd., Armonk, NY 10504",www.ibm.com,IBM,174.02,1.74,0.0101,5/14/2015 15:57,"In search of new revenue streams, IBM seems to have been more successful in meeting earnings expectations in 2013 than in increasing income. Operating earnings per share increased to $16.28 for the year, up 7% over 2012, while annual revenue fell 5% to $99.8 million. In May, Big Blue announced two new enterprise cybersecurity products, riding a recent wave of high-profile corporate breaches. And the company’s annual revenue for cloud computing products was up 69%, demonstrating that it is working toward stemming losses in legacy areas of its business.",99751,-0.046,16483,-0.007,126223,22792,200447,16.5,13.1,72.3,14.94,4,10.8,13.2,-0.2,19.6,9
24,Kroger,23,W. Rodney McMullen,"1014 Vine St., Cincinnati, OH 45202",www.thekrogerco.com,KR,72.49,1.26,0.0176,5/14/2015 15:57,"What’s the one word that best sums up the past year for the Ohio-based grocery giant? Merger. In July of last year, Kroger announced that it would acquire the grocery chain Harris Teeter, based in North Carolina. The $2.5 billion purchase closed in January, adding 227 Harris-Teeter stores to the company’s 2,414 Kroger-branded stores. Pre-merger, Kroger netted $1.52 billion in earnings for 2013; the company expects continued growth in 2014, between 10% and 14% for the year, with Harris Teeter on the books.",98375,0.017,1519,0.015,29281,5384,22294,1.5,5.2,28.2,2.9,4.7,8.8,21.3,54.6,10.4,9.2
25,Marathon Petroleum,33,Gary R. Heminger,"539 S. Main St., Findlay, OH 45840",www.marathonpetroleum.com,MPC,104.65,2.37,0.0232,5/14/2015 15:57,"Lower oil prices and a decrease in crude oil differentials led to a bit of a downturn for Marathon Petroleum in 2013: the Ohio-based fuel company saw its 2013 earnings fall to $2.1 billion, down from $3.4 billion the year prior. The company’s refining and marketing group had a particularly challenging year; its earnings dropped from $5.1 billion to $3.2 billion between 2012 and 2013. But Marathon has its eye on the future, with plans for a more than $2 billion improvement to its refinery in Garyville, La.",93991,0.224,2112,-0.377,28385,10920,25490,2.2,7.4,19.3,6.64,-32.9,,,48.4,,
26,Citigroup,26,Michael L. Corbat,"399 Park Ave., New York, NY 10022",www.citigroup.com,C,54.57,0.37,0.0068,5/14/2015 15:57,"Michael Corbat faced quite a challenge when he took over for ousted Citigroup CEO Vikram Pandit in October 2013. After his first year, he’s probably pretty happy with what he’s done so far with the banking giant: The firm pocketed $13.2 billion in profits in 2013, up 81% from the previous year’s $7.5 billion. The company saw a decrease in revenue from global consumer banking in 2013, but made up for that with a 15% increase in revenues from securities and banking. But Citi’s year was not all about financial engineering. New Yorkers were able to enjoy one of Citi’s more visible marketing campaigns in recent memory courtesy of the now-ubiquitous, royal blue Citi Bikes.",93629,0.032,13673,0.813,1880382,204339,144627,14.6,0.7,6.7,4.35,78.3,,-18.6,31.8,-4.7,-18.1
27,Archer Daniels Midland,27,Patricia A. Woertz,"4666 Faries Pkwy., Decatur, IL 62526",www.adm.com,ADM,52.82,0.66,0.0127,5/14/2015 15:57,"A squashed deal defined 2013 for food processor Archer Daniels Midland. In November, Australian regulators blocked the firm’s proposed $3.4 billion acquisition of GrainCorp, an Aussie agricultural giant, on grounds that it was against the nation’s interest to allow a foreign takeover. Earnings were also slightly down for ADM; the firm ended the year with $1.34 billion in earnings for the year, down from $1.38 billion for 2012.",89804,0.009,1342,0.097,43752,20156,28453,1.5,3.1,6.7,2.02,9.8,-6.3,11.2,61.9,10.9,13.1
28,AmerisourceBergen,32,Steven H. Collis,"1300 Morris Dr., Chesterbrook, PA 19087",www.amerisourcebergen.com,ABC,114.64,0.63,0.0055,5/14/2015 15:57,"What’s better than signing a new client to a 10-year deal? Stealing that client from one of your closest competitors. AmerisourceBergen managed to do just that in 2013 when it signed a distribution deal with Walgreens, taking the contract away from Cardinal Health. The deal contributed to a strong fiscal year 2013 (ending in September) for the Valley Forge, Pa.-based drug company. Revenue came in at $88 billion, up 12.7% from the previous year. Revenue for the first quarter of calendar year 2014 was up nearly 40% from 2013 to $28.5 billion.",89140,0.118,434,-0.397,18919,2320,15033,0.5,2.3,18.7,1.84,-34.3,19,6.6,65.3,33.2,18.8
29,Wells Fargo,25,John G. Stumpf,"420 Montgomery St., San Francisco, CA 94163",www.wellsfargo.com,WFC,56.07,0.47,0.0084,5/14/2015 15:57,"Strong loan and deposit growth led to increased profits for Wells Fargo in 2013 — to the tune of $21.9 billion, up 16% from $18.9 billion the previous year. The banking behemoth had nearly $826 billion in loans on the books at the end of the year, compared with nearly $800 billion at the end of 2012. In 2014, the company is looking to strengthen its dominant mortgage lending business by lowering the minimum credit score for residential mortgages. It also wants to build up its relatively weak credit card business by launching two new credit card products aimed at big spenders.",88069,-0.035,21878,0.158,1527015,170142,261217,24.8,1.4,12.9,3.89,15.8,40.9,7.9,36.7,11.6,7.6
30,Boeing,30,W. James McNerney Jr.,"100 N. Riverside Plaza, Chicago, IL 60606",www.boeing.com,BA,147.91,2.29,0.0157,5/14/2015 15:57,"Commercial airplane sales led growth in 2013 for the Chicago-based aerospace company, which saw profits jump 17% from 2012 to $4.6 billion. In addition to an increase in revenue from the commercial airline business, Boeing saw a slight uptick from its defense, space, and security divisions. In 2014, Boeing looks to be trying to save money on labor costs, and recently announced plans to move 400 jobs from Washington to Alabama to save more than $100 million annually.",86623,0.06,4585,0.176,92663,14875,93289,5.3,4.9,30.8,5.96,16.6,10.2,20.9,84.6,29.5,15
31,Procter & Gamble,28,Alan G. Lafley,"1 Procter & Gamble Plaza, Cincinnati, OH 45202",www.pg.com,PG,80.55,0.85,0.0106,5/14/2015 15:57,"With $25 billion brands like Pantene, Crest and Tide, P&G once again claims its title as the world’s largest consumer products company. Although sales were nearly flat at $84.2 billion in fiscal 2013, CEO Alan G. Lafley has made progress on his mission to improve productivity and cut costs. Last year, the company delivered $1.2 billion in cost savings and improved manufacturing productivity by 7%, which helped boost 2013 profits to $11.3 billion, or 5% higher than the previous year.",84167,-0.011,11312,0.052,139263,68064,218539,13.4,8.1,16.6,3.86,5.5,1.2,7.7,23.5,9,7.7
32,Freddie Mac,31,Donald H. Layton,"8200 Jones Branch Dr., McLean, VA 22102",www.freddiemac.com,FMCC,2.57,0.03,0.0118,5/14/2015 15:35,"Freddie Mac tallied another year of record-breaking profits, dwarfing last year’s embarrassment of riches. The government-held mortgage servicer reported profits of $48.7 billion in 2013, a more than three-fold increase from the previous year. Strong home prices have sent the company on a two-year tear after an extended losing streak, and the company has already repaid its $71.3 billion bailout from the federal government. However, CEO Donald H. Layton warns that a plateau in home prices will slow down Freddie Mac’s breakneck earnings pace this year.",81221,0.007,48668,3.432,1966061,12835,2509,59.9,2.5,379.2,-1.09,,,,1002,31.8,-25
33,Home Depot,34,Francis S. Blake,"2455 Paces Ferry Rd. N.W., Atlanta, GA 30339",www.homedepot.com,HD,111.93,0.74,0.0067,5/14/2015 15:59,"The world’s largest home improvement retailer honed in on its U.S. business last year as the housing rebound sent more customers into its stores for hardware, lumber and more. U.S. comparable store sales were up 7.5%, the best showing since 1999, and overall revenue rose 5% to $78.8 billion. CEO Francis S. Blake wants the Home Depot shopping experience to be seamless from online to in-store. Already, 30% of online orders are picked up at local stores. Blake is hoping for further gains by investing more in the company’s online and mobile businesses.",78812,0.054,5385,0.187,40518,12522,109306,6.8,13.3,43,3.76,25.3,22.9,7.2,35.9,32.5,11.3
34,Microsoft,35,Satya Nadella,"1 Microsoft Way, Redmond, WA 98052",www.microsoft.com,MSFT,48.75,1.13,0.0236,5/14/2015 15:59,"It was a big year for the Windows software maker, which raked in almost $22 billion in profits in 2013, reversing the steep drop in net income from the previous year. Microsoft is shifting away from its software heritage to focus on hardware and Internet-based services, and it’s hoping the $7.2 billion purchase of Nokia’s handset business will help it play catch-up with mobile rivals Apple and Samsung. The company also bid farewell to CEO Steve Ballmer and appointed Satya Nadella, the company’s previous enterprise and cloud chief, as the new chief executive.",77849,0.056,21863,0.288,142431,78944,340246,28.1,15.3,27.7,2.58,29,6.6,10.9,44.2,16.9,6.3
35,Amazon.com,49,Jeffrey P. Bezos,"410 Terry Ave. N., Seattle, WA 98109",www.amazon.com,AMZN,432.39,5.52,0.0129,5/14/2015 15:55,"CEO Jeffrey Bezos is set to make Amazon the online go-to for just about everything. The company is pouring money into warehouses, grocery delivery and a streaming television set-top box. The domination doesn’t stop with peddling consumer products: Amazon is also investing heavily in its web-based cloud services and signing up companies like Comcast and Pfizer. The Internet giant’s efforts are reaping sales, if not necessarily profits. Last year, the company reported $74.5 billion in sales and $274 million in earnings.",74452,0.219,274,,40159,9746,154480,0.4,0.7,2.8,0.59,,-16.9,22.1,59,50.7,22.5
36,Target,36,"John J. Mulligan, Interim CEO","1000 Nicollet Mall, Minneapolis, MN 55403",www.target.com,TGT,77.25,-2.57,-0.0321,5/14/2015 15:59,"The Minneapolis-based retailer struggled to get ahead last year. It faced a massive data breach that affected as many as 110 million customers, a faltering Canadian expansion that lost $1 billion and an overall 34% drop in profits. The company also has a hole in its top leadership: former CEO Gregg W. Steinhafel, a 35-year Target employee, stepped down in the face of growing criticism that the retailer hadn’t reacted soon enough to prevent the data theft. Target is working with recruitment firm Korn Ferry, hinting that it may hire its first chief executive from outside the company.",72596,-0.01,1971,-0.343,44553,16231,38313,2.7,4.4,12.1,3.07,-32.1,1.4,4.3,9.5,15.1,6.6
37,Walgreen Co.,37,Gregory D. Wasson,"108 Wilmot Rd., Deerfield, IL 60015",www.walgreens.com,,,,,,"The nation’s largest drugstore chain logged more than $72 billion in sales last year and a 15% increase in annual profit. Walgreen expanded its commercial pharmacy book by striking deals with Express Scripts and Caremark. It also launched a pharmacy-led health initiative with AmerisourceBergen, which will allow the drugstore to create a wholesale-retail model that will reduce costs and increase patient access. As the Affordable Care Act continues to transform the healthcare landscape, CEO Gregory D. Wasson said the company aims to deliver double-digit growth in earnings per share this year.",72217,0.008,2450,0.152,35481,19454,62739,3.4,6.9,12.6,2.56,5.8,3.4,8.4,58.9,21,6.2
38,WellPoint,47,Joseph R. Swedish,"120 Monument Circle, Indianapolis, IN 46204",www.wellpoint.com,,,,,,"The second-largest insurer in the U.S. faced a year of challenges as the Affordable Care Act went into effect and new CEO Joseph R. Swedish took the reins. Wellpoint completed its integration of Amerigroup, which gave the company the largest Medicaid roster in the industry with nearly 4.5 million patients, and refocused its core business by selling off 1-800 CONTACTS and Glasses.com. The insurer reported sales growth of 16% in 2013, to $71.5 billion, though profits dropped over 6% year-over-year. Swedish said he expects 2014 income to be better as the company adds as many as 1.3 million net new customers, an increase driven by the public exchanges set up under the ACA.",71458,0.158,2490,-0.062,59575,24765,28118,3.5,4.2,10.1,8.2,0.2,11.5,11.6,54.6,18.2,10
39,Johnson & Johnson,41,Alex Gorsky,"1 Johnson & Johnson Plaza, New Brunswick, NJ 08933",www.jnj.com,JNJ,101.83,1.28,0.0127,5/14/2015 15:59,"At 70 years old, Johnson & Johnson isn’t slowing down. The company, maker of Tylenol, Neutrogena, and other household brands, reported $13.8 billion in 2013 profits, a gain of more than 27% year-over-year. The pharmaceutical business had an exceptional year with 12% annual operational growth, making J&J the fastest growing top 10 pharmaceutical company in the U.S., Europe and Japan. CEO Alex Gorsky plans to sustain that growth through continued investment in research and development. Last year alone, the company allocated over $8 billion, or 11% of sales, to support R&D. Recent research efforts are paying off: About 25% of sales came from products J&J brought to market in the past five years.",71312,0.061,13831,0.274,132683,74053,277883,19.4,10.4,18.7,4.81,24.6,1,7.2,34.6,12.6,9
40,American International Group,38,Robert H. Benmosche,"175 Water St., New York, NY 10038",www.aig.com,AIG,58.96,0.22,0.0037,5/14/2015 15:59,"The insurance and retirement provider served 98% of the Fortune 500 companies last year, bringing in almost $69 billion in revenue. AIG saw strong growth in its life and retirement segment as large numbers of Baby Boomers continue to retire, and the company had a big payday of $5.4 billion when it agreed to sell its International Lease Finance Corporation. Combined with CEO Robert H. Benmosche’s effort to simplify the insurer’s organizational structure, these wins led to a 164% jump in annual profits from the previous year.",68678,-0.021,9085,1.643,541329,100470,73218,13.2,1.7,9,6.13,200.5,,-20.5,45.2,14.5,-25.7
41,State Farm Insurance Cos.,44,Edward B. Rust Jr.,"1 State Farm Plaza, Bloomington, IL 61710",www.statefarm.com,,,,,,"State Farm saw its net income increase by 63% in 2013 thanks in part to a strong year for the Bloomington, Ill.-based insurance and financial service company’s stock investments. Net worth grew by 16% to $75.9 billion over the same period — the highest net worth in State Farm’s 92-year history — driven by an underwriting gain of $230 million in 2013. In January 2014, State Farm announced plans to sell its Canada business to Desjardins Group, a transaction expected to finish in early 2015. Terms of the deal have not been disclosed, but Reuters values the businesses at around $1.46 billion.",68291,0.046,5189,0.643,224694,75900,,7.6,2.3,6.8,,,,,,,
