rank,company_name,previous_rank,ceo,address,website,ticker,stock_price,stock_net_change,stock_percent_yield,stock_date,description,revenue_millions,revenue_percentchange_previous_year,profit_millions,profit_percentchange_previous_year,total_assets_millions,total_shareholder_equity_millions,market_value_03312014_millions,profit_percentsales,profit_percentassets,profit_percentstockholder_equity,earnings_per_share,eps_percentchange_from_2012,eps_percentchange_5_year,eps_percentchange_10_year,total_return_investors,total_annualized_return_investors_5_year,total_annualized_return_investors_10_year
313,"Crown Holdings, Inc.",312,John W. Conway,"1 Crown Way, Philadelphia, PA 19154",www.crowncork.com,CCK,55.26,0.74,0.0136,5/14/2015 16:00,,8656,0.022,324,-0.418,8030,4,6191,3.7,4,8100,2.3,-38.7,10.6,,21.1,18.3,17.3
314,"SunTrust Banks, Inc.",239,William H. Rogers Jr.,"303 Peachtree St. N.E., Atlanta, GA 30308",www.suntrust.com,STI,42.8,-0.1,-0.0023,5/14/2015 15:59,,8602,-0.235,1344,-0.314,175335,21303,21274,15.6,0.8,6.3,2.41,-32.9,2.5,-6.5,31.2,5.4,-4.2
315,Campbell Soup Company,338,Denise M. Morrison,"1 Campbell Place, Camden, NJ 08103",www.campbellsoupcompany.com,CPB,46.47,0.66,0.0143,5/14/2015 15:59,,8584,0.114,458,-0.408,8323,1217,14080,5.3,5.5,37.6,1.44,-40.2,-14,-0.1,25.7,11.2,7.9
316,"Fidelity National Financial, Inc.",353,Raymond R. Quirk,"601 Riverside Ave., Jacksonville, FL 32204",www.fnf.com,FNF,37.98,0.45,0.012,5/14/2015 16:01,,8573,0.17,402,-0.337,10524,5068,8687,4.7,3.8,7.9,1.71,-36.2,,,41.2,16.8,
317,"HD Supply Holdings, Inc.",330,Joseph J. DeAngelo,"3100 Cumberland Blvd., Atlanta, GA 30339",www.hdsupply.com,HDS,32.55,-0.03,-0.0009,5/14/2015 16:00,,8569,0.05,-218,,6324,-764,5077,-2.5,-3.4,,-1.31,,,,,,
318,Caesars Entertainment Corporation,300,Gary W. Loveman,"1 Caesars Palace Dr., Las Vegas, NV 89109",www.caesars.com,CZR,10.4,-0.27,-0.0253,5/14/2015 16:00,,8563,-0.027,-2948,,24689,-3122,2607,-34.4,-11.9,,-22.93,,,,211.3,,
319,"Darden Restaurants, Inc.",328,Clarence Otis Jr.,"1000 Darden Center Dr., Orlando, FL 32837",www.darden.com,DRI,63.4,0.64,0.0102,5/14/2015 15:59,,8552,0.069,412,-0.134,6937,2060,6696,4.8,5.9,20,3.13,-12.3,3.8,9.1,25.8,17.9,12.5
320,Weyerhaeuser Company,363,Doyle R. Simons,"33663 Weyerhaeuser Way S., Federal Way, WA 98003",www.weyerhaeuser.com,WY,32.53,0.5,0.0156,5/14/2015 16:02,,8529,0.208,563,0.462,14498,6795,17135,6.6,3.9,8.3,0.95,33.8,,-2.7,16.6,24.7,5.5
321,Ball Corporation,301,John A. Hayes,"10 Longs Peak Dr., Broomfield, CO 80021",www.ball.com,BLL,71.97,0.46,0.0064,5/14/2015 16:02,,8468,-0.031,407,0.008,7820,1200,7703,4.8,5.2,33.9,2.73,7.1,10.7,10.5,16.7,21,14.3
322,Precision Castparts Corp.,355,Mark Donegan,"4650 S.W. Macadam Ave., Portland, OR 97239",www.precast.com,PCP,207.56,-0.64,-0.0031,5/14/2015 15:59,,8463,0.163,1427,0.165,16896,9783,36707,16.9,8.4,14.6,9.72,15.6,6.7,23.5,42.2,35.4,28.2
